Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
25,AAPL,2015-07-01 00:00:00+00:00,126.6,126.94,125.99,126.9,30238811,116.6648626111,116.9781805676,116.1027333363,116.9413196315,30238811,0.0,1.0,126.80349999999999,126.6458244568387,42.52378789914889,-1.1516662221458773
26,AAPL,2015-07-02 00:00:00+00:00,126.44,126.69,125.77,126.43,27210952,116.5174188669,116.7477997173,115.899998188,116.5082036329,27210952,0.0,1.0,126.65950000000001,126.60823509970321,41.84517893511177,-1.0993570392209335
27,AAPL,2015-07-06 00:00:00+00:00,126.0,126.23,124.85,124.94,28060431,116.1119485703,116.3238989526,115.0521966588,115.1351337649,28060431,0.0,1.0,126.59949999999999,126.49724410591749,39.956772685810094,-1.0809454908982872
28,AAPL,2015-07-07 00:00:00+00:00,125.69,126.15,123.77,125.89,46946811,115.8262763159,116.2501770805,114.0569513853,116.0105809962,46946811,0.0,1.0,126.4075,126.35003535257829,38.63391707501511,-1.078931366247815
29,AAPL,2015-07-08 00:00:00+00:00,122.57,124.64,122.54,124.48,60761614,112.95112330370002,114.8586767445,112.9234776016,114.7112330003,60761614,0.0,1.0,125.9615,125.6610824720029,28.43156355566353,-1.3139467231028732
30,AAPL,2015-07-09 00:00:00+00:00,120.07,124.06,119.22,123.85,78595038,110.6473148003,114.3241931717,109.8640199092,114.1306732574,78595038,0.0,1.0,125.15749999999998,124.64249741032063,23.155046163326134,-1.6825320115436995
31,AAPL,2015-07-10 00:00:00+00:00,123.28,123.85,121.21,121.94,61354474,113.6054049186,114.1306732574,111.6978514779,112.3705635608,61354474,0.0,1.0,124.73549999999997,124.39436707992763,38.84806629445434,-1.6960671291364378
32,AAPL,2015-07-13 00:00:00+00:00,125.66,125.755,124.32,125.03,41440538,115.7986306139,115.886175337,114.5637892561,115.218070871,41440538,0.0,1.0,124.6265,124.62478875304039,47.42152009494822,-1.497485615807264
33,AAPL,2015-07-14 00:00:00+00:00,125.61,126.37,125.04,126.04,31768139,115.7525544438,116.4529122288,115.227286105,116.1488095064,31768139,0.0,1.0,124.73449999999998,124.80411329491605,47.271578043499396,-1.328825049913391
34,AAPL,2015-07-15 00:00:00+00:00,126.82,127.15,125.58,125.72,33649200,116.8675977594,117.1717004819,115.7249087418,115.8539220179,33649200,0.0,1.0,124.874,125.17096491445115,51.285818952055386,-1.085016058971874
35,AAPL,2015-07-16 00:00:00+00:00,128.51,128.57,127.35,127.74,36222447,118.4249723077,118.4802637118,117.3560051622,117.7153992887,36222447,0.0,1.0,125.06500000000001,125.77850496294364,56.290956105593665,-0.7468179485878039
36,AAPL,2015-07-17 00:00:00+00:00,129.62,129.62,128.31,129.08,46164710,119.4478632832,119.4478632832,118.2406676274,118.9502406465,46164710,0.0,1.0,125.383,126.47737532199103,59.25227324134329,-0.3847901646847731
37,AAPL,2015-07-20 00:00:00+00:00,132.07,132.97,130.7,130.97,58900203,121.7055956165,122.5349666777,120.4431085567,120.691919875,58900203,0.0,1.0,125.99000000000001,127.49471248848965,64.90420025889954,0.0986765054920653
38,AAPL,2015-07-21 00:00:00+00:00,130.75,132.92,130.32,132.85,76756427,120.4891847267,122.4888905077,120.0929296642,122.4243838696,76756427,0.0,1.0,126.49600000000001,128.0868192883737,60.06980750350054,0.3710372698130442
